Latitude,Longitude,StationID,US10cm_data_length,US20cm_data_length,US30cm_data_length,US40cm_data_length,smlp_R_US10cm,smlp_bias_US10cm,smlp_rmse_US10cm,smlp_ubrmse_US10cm,smlp_mpae_US10cm,smlp_mae_US10cm,era_R_US10cm,era_bias_US10cm,era_rmse_US10cm,era_ubrmse_US10cm,era_mpae_US10cm,era_mae_US10cm,esa_R_US10cm,esa_bias_US10cm,esa_rmse_US10cm,esa_ubrmse_US10cm,esa_mpae_US10cm,esa_mae_US10cm,gleam_R_US10cm,gleam_bias_US10cm,gleam_rmse_US10cm,gleam_ubrmse_US10cm,gleam_mpae_US10cm,gleam_mae_US10cm
-14.557722,-41.976861,291165901C,1045,488,,,0.7875062122185077,-0.0010110903202634,0.025648461409547,0.0256285245193962,0.1912067730841256,0.0166361423760822,0.7519886246692293,0.069807726429504,0.0883751507478916,0.0541945440100393,0.4407114994833414,0.0713604470423734,0.7826411009291729,0.0951077419198435,0.1024157376760063,0.0379934303614321,0.5322041932877558,0.0951349585098763,0.751047195544217,0.1405267382945616,0.1435702570719812,0.0294050087571246,0.6334130140631372,0.1405267382945616
-14.212194,-42.839166,291170901C,1342,180,,,0.8423692549785684,-0.0058651282034431,0.0236390984587262,0.0228999398929021,0.1606489926849108,0.0160303076523706,0.803437795383029,0.0489930474645085,0.0697970284792905,0.0497122367700279,0.3016641140337637,0.0497996397477747,0.7935478902132818,0.048310418123284,0.0599613022803838,0.0355170560704717,0.3168036209635556,0.0488341058082848,0.8380192890741992,0.1363472447417215,0.1396273875340714,0.0300871434491684,0.5930607625883925,0.1363472447417215
-10.67348,-38.32726,291185701C,332,332,,,0.5168492653246498,0.0237266881163337,0.0435804932541671,0.0365554874582016,0.5760441051568375,0.0392906339913341,0.6256166886778605,0.0288042817238093,0.0479625995387437,0.0383500235839474,0.5226111381842263,0.036715903395617,0.6776722208922505,0.0701621529191611,0.0770330752342843,0.0318019964436065,0.6341821135584219,0.070350308257195,0.6962078584187846,0.1205532848808289,0.1252614079349631,0.034019491799422,0.7435618012808458,0.1205532848808289
-14.29025,-42.269805,291200401C,819,1085,,,0.8302179367522831,0.0278216707323584,0.0366586618466605,0.0238707378614075,0.3479774237193179,0.0309011517365648,0.8186144354710342,0.091670682691311,0.1064985831050546,0.0542073255039686,0.581737392992637,0.0920524139728798,0.7732695203096711,0.1149571942293337,0.1215956272618012,0.0396275165019225,0.6450517230754359,0.1150271359747496,0.7997462841964049,0.1262289673455907,0.1321326599422889,0.0390549308831851,0.6698408495371045,0.1262289673455907
-13.446389,-41.297933,291220201C,1348,1004,,,0.583159462560398,-0.012797109083099,0.0422573119341491,0.0402729985351878,0.2273602153686064,0.0314903062737739,0.7806698717815588,0.0832925259527384,0.1035842008534109,0.0615795565658942,0.3163258577389795,0.0861639971452761,0.7067775255680634,0.0291110765881651,0.0519859807060045,0.0430707256711918,0.1950482859658356,0.0399592604163634,0.6971372636970469,0.087082173000929,0.0939907404192236,0.0353688341621567,0.3513782436691123,0.0871933409403089
-12.619436,-42.242436,291300201C,409,409,,,0.6343603091512384,0.0013302323721721,0.0366416395672123,0.0366174853315943,0.2774191626909164,0.0254519896723255,0.8739511548480612,0.0893727286818944,0.1033711029621457,0.0519432410960562,0.4930822804524313,0.0893727286818944,0.7491252177986186,0.1120551591732647,0.1213094092937055,0.0464716481937329,0.5556103417666498,0.1120551591732647,0.8161757163237741,0.1119457943618039,0.1184638967883892,0.0387535026416302,0.5660957123487793,0.1119457943618039
-13.755027,-42.749138,291340801C,148,518,,,0.9321517861509044,-0.0311509986250629,0.0384629354890218,0.0225613096050293,0.48094409012356,0.0344054265039019,0.9282550469437324,0.0549092898720233,0.0922254886809994,0.0740979800547847,0.2162313600702502,0.0583293685524564,0.8857157088791102,0.0563505370166731,0.0777366764310295,0.0535500498643571,0.2632038813083089,0.05925056598011,0.9557321827011234,0.0743059240663809,0.0886161468138227,0.0482851025138211,0.3376191911906106,0.0743059240663809
-12.29387,-39.3156,291380401C,932,1098,,,0.5414153687138443,0.0408403666783081,0.0578848486826444,0.0410209721556422,0.4418031052771741,0.0488581397929325,0.6416693948101434,0.2548146433709659,0.2578851650590415,0.0396768935434286,0.7868776746648987,0.2548146433709659,0.7380196422027362,0.1260819327854764,0.1300518095845907,0.031887605763137,0.65397457517642,0.126138667790174,0.7140534297398334,0.1472837981768933,0.1509638004701954,0.0331293200502686,0.6842704943659568,0.1472837981768933
-12.180583,-39.759583,291400001C,605,1010,,,0.5036507285532174,0.120243966435799,0.1240878215627141,0.0306459784631919,0.7786455619862548,0.1202725262561237,0.7118421889388634,0.2902840617891258,0.2923245281629085,0.034478881027,0.895359116708982,0.2902840617891258,0.6666030115218562,0.1518588007063564,0.1546435133242074,0.0292150793475121,0.8195416448270346,0.1518588007063564,0.7216505726631132,0.1835752012164792,0.1858336042168233,0.0288838009019605,0.8460211524713265,0.1835752012164792
-13.275019,-40.000392,291420801C,1331,1331,,,0.2888441292076892,0.0230040870501599,0.0384413582417508,0.0307985389663095,0.2727046633882893,0.0309586775362482,0.3681290068251744,0.2209403558280184,0.2277463238733134,0.055260720266721,0.7083729957298512,0.2209403558280184,0.3056513382047926,0.1280599292401228,0.1372299096785205,0.04932243539597,0.5785916730219571,0.1280599292401228,0.2383556767428095,0.1522741336293314,0.1600758871251933,0.0493647431508982,0.6216661390567039,0.1522741336293314
